event_timestamp,latitude,longitude,Language_JFProd,media_component_title,platform
2025-12-12 03:16:00.000000 UTC,31.488430891817409,-99.376677903769277,Dan,Birth of Jesus,app
2025-12-12 00:20:00.000000 UTC,31.488430891817409,-99.376677903769277,Russian,Marea,app
2025-12-11 18:11:00.000000 UTC,40.473224043715796,-82.66159250585487,"Swahili, Tanzania",The Beginning,app
2025-12-11 21:33:00.000000 UTC,28.631540697674414,-82.49186046511619,"Aymara, Central",Parable of the Pharisee and Tax Collector,app
2025-12-11 23:55:00.000000 UTC,42.99414504324686,-75.675515635395968,Kachhi Gujerati,"Rivka's Home, Disciples Chosen and Women Followers",app
2025-12-11 23:54:00.000000 UTC,42.99414504324686,-75.675515635395968,"Arabic, North African",JESUS,app
2025-12-11 15:22:00.000000 UTC,42.7628048780488,-7.9018292682926852,"English, North American Indigenous",JESUS,app
2025-12-11 20:51:00.000000 UTC,46.571428571428562,6.6485714285714277,"German, Standard",Creation,app
2025-12-11 12:24:00.000000 UTC,-26.111875,28.13187499999999,Afrikaans,Fellowship Of Believers,app
2025-12-11 06:22:00.000000 UTC,19.444646924829183,76.111731207289253,"Korean, North",JESUS,app
2025-12-11 06:30:00.000000 UTC,19.444646924829183,76.111731207289253,Akeu,Jesus Proclaims Fulfillment of the Scriptures,app
2025-12-11 16:32:00.000000 UTC,14.706720597386427,76.163285625388937,Telugu,JESUS,app
2025-12-11 14:55:00.000000 UTC,3.2634920634920634,101.50476190476189,Malay,JESUS,app
2025-12-11 11:01:00.000000 UTC,-4.9055555555555568,105.02037037037046,Maori,JESUS,app
2025-12-11 11:08:00.000000 UTC,-4.9055555555555568,105.02037037037046,Tagalog,Day 1: Beginnings,app
2025-12-11 11:10:00.000000 UTC,-4.9055555555555568,105.02037037037046,Korean,The Story of Jesus for Children,app
2025-12-11 10:58:00.000000 UTC,-4.9055555555555568,105.02037037037046,Javanese Banyumasan,JESUS,app
2025-12-11 13:42:00.000000 UTC,7.51196677991694,38.772706681766671,Amharic,JESUS,app
2025-12-11 13:48:00.000000 UTC,7.51196677991694,38.772706681766671,Amharic,Birth of Jesus,app
2025-12-11 13:43:00.000000 UTC,7.51196677991694,38.772706681766671,Amharic,The Beginning,app
2025-12-11 13:42:00.000000 UTC,7.51196677991694,38.772706681766671,Amharic,JESUS,app
2025-12-12 02:56:00.000000 UTC,37.532327992459948,-85.276437323280049,"Arabic, Moroccan Spoken",JESUS,app
2025-12-11 14:54:00.000000 UTC,37.532327992459948,-85.276437323280049,"Arabic, Moroccan Spoken",JESUS,app
2025-12-12 04:04:00.000000 UTC,23.826958831341329,87.9768924302789,Bengali (Indian),Chosen Witness,app
2025-12-12 04:40:00.000000 UTC,23.826958831341329,87.9768924302789,Bengali (Indian),Chosen Witness,app
2025-12-12 04:10:00.000000 UTC,23.826958831341329,87.9768924302789,Bengali (Indian),Chosen Witness,app
2025-12-12 04:12:00.000000 UTC,23.826958831341329,87.9768924302789,Bengali (Indian),Chosen Witness,app
2025-12-12 04:11:00.000000 UTC,23.826958831341329,87.9768924302789,Bengali (Indian),Chosen Witness,app
2025-12-12 04:25:00.000000 UTC,23.826958831341329,87.9768924302789,Bengali (Indian),Chosen Witness,app
2025-12-12 04:40:00.000000 UTC,23.826958831341329,87.9768924302789,Bengali (Indian),Chosen Witness,app
2025-12-11 08:40:00.000000 UTC,31.188888888888886,121.42857142857144,Cantonese,Mary Magdalene goes to Rivka's house,app
